Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
C1;22pF;C_0805_2012Metric;-82.423000;-23.416500;90.000000;bottom
C2;22pF;C_0805_2012Metric;-74.295000;-23.446500;270.000000;bottom
C3;0.1uF;C_0805_2012Metric;-68.707000;-24.400750;90.000000;bottom
C4;0.1uF;C_0805_2012Metric;-87.757000;-40.434500;270.000000;bottom
C5;0.1uF;C_0805_2012Metric;-68.707000;-32.209500;90.000000;bottom
C6;0.1uF;C_0805_2012Metric;-87.757000;-30.607000;270.000000;bottom
C7;4.7uF;C_0805_2012Metric;-68.707000;-39.799500;90.000000;bottom
C8;1uF;C_0805_2012Metric;-68.707000;-35.989500;90.000000;bottom
D1;D;D_SOD123_axial;-61.912500;-57.150000;0.000000;bottom
D2;D;D_SOD123_axial;-80.962500;-57.150000;0.000000;bottom
D3;D;D_SOD123_axial;-61.912500;-76.200000;0.000000;bottom
D4;D;D_SOD123_axial;-80.962500;-76.200000;0.000000;bottom
D5;D;D_SOD123_axial;-71.437500;-95.250000;0.000000;bottom
R1;10k;R_0805_2012Metric;-68.707000;-28.399500;270.000000;bottom
R2;10k;R_0805_2012Metric;-87.757000;-35.384500;270.000000;bottom
R3;22;R_0805_2012Metric;-55.626000;-29.703000;90.000000;bottom
R4;22;R_0805_2012Metric;-60.452000;-29.671250;90.000000;bottom
SW1;SW_PUSH;SKQG-1155865;-58.547000;-38.354000;0.000000;bottom
U1;ATMEGA32U4;TQFP-44_10x10mm_P0.8mm;-78.232000;-35.369500;0.000000;bottom
Y2;16Mhz;Crystal_SMD_3225-4Pin_3.2x2.5mm;-78.275000;-23.456000;0.000000;bottom
